Text,consolidated_tag,Target
因為你之前有參加部幫的保障,其他,9
都是我們部幫的說的停賣商品了,獨家商品,4
"李大哥,因為你之前有參加部幫的保障",其他,9
"我們會把你繳的錢,加2%還給李大哥",期滿領回,0
幫你保到110歲,長期保障,5
我們會1.02倍還給您,期滿領回,0
意外保證會幫你照顧到110歲,長期保障,5
提供病房費一天650元的照顧金,醫療保障,7
意外受傷住院會提供病房費一天650元的照顧金,醫療保障,7
它的增值金比較高,期滿領回,0
"完全失能了,會多一個100萬的保障",長期保障,5
這筆是李大哥你61歲可以領,期滿領回,0
"它就是只要是生顧完全失能了,會多一個100萬的保障來照顧貴賓或家人",長期保障,5
很多人會非常羨慕李大哥的,其他,9
"可能因為保費有些是消費型,繳掉就花掉拿不回來的",期滿領回,0
"可能因為保費有些是消費型,繳掉就花掉拿不回來的。",期滿領回,0
"所以恭喜李大哥你可以透過儲蓄保障的方式,我們錢會通通還給你。",期滿領回,0
我們錢會通通還給你,期滿領回,0
60萬的保障保終身,長期保障,5
加了22%,期滿領回,0
每天打電話新聞發生意外事故,醫療保障,7
你每塊錢會加12%通通還給你,期滿領回,0
我們的意外醫療會幫你服務到110歲,長期保障,5
每塊錢會加12%通通還給你,期滿領回,0
意外醫療會幫你服務到110歲,長期保障,5
增值金會給的比較高,期滿領回,0
一天大概50元的小錢就可以參加,小錢大保障,1
"儲蓄20年,我們25年會把你儲蓄錢,我們是多12%還給你",期滿領回,0
"它是富邦給到可以領回的終身錢裡面,正經最高的",期滿領回,0
它是加12%,期滿領回,0
它會幫你保到110歲,長期保障,5
"它不是低保費高保障,不綁約嘛,每年每年續約嘛",小錢大保障,1
"很多客戶覺得說,如果富邦的終身UI險加強的比較高",長期保障,5
在富邦金控富邦三寶袋網站上,其他,9
您可以點選各自聲明閱讀相關內容,其他,9
我們25年應該會把你繳的錢多22%還給張大哥,期滿領回,0
從你40歲到你65歲這25年當中會對一個100萬的保障來保護你,保障額度,8
我們跟以前的癌症險不一樣,癌症保障,6
不是住院幾天賠幾天,醫療保障,7
還只能直接一筆保險金做給付,理賠快速乾脆,2
他如果萬一確定出事的話,其他,9
有考量到說有一個新的用料是標靶藥物的治療,癌症保障,6
那還有比較新型的達文西手術,癌症保障,6
預算上蠻輕鬆,小錢大保障,1
一天大概28塊就可以參加了,小錢大保障,1
因為醫學近況比較不是絕症了,其他,9
就會花很多錢,其他,9
窮才是絕症,其他,9
我們25年會把你儲蓄的錢會多22%還給大哥,期滿領回,0
我們多一個120萬的保障來服務您,保障額度,8
其實你越來越長壽,其他,9
等於癌症風險越來越高,癌症保障,6
如果初次離開癌症，他直接一大堆勞情金做給付，一次給付喔,理賠快速乾脆,2
他只要診斷證明書，不管是一期二期三期四期的癌症,癌症保障,6
他不用拿收據,其他,9
只要診斷證明書,理賠快速乾脆,2
直接一筆賠下來,理賠快速乾脆,2
多給一筆癌症生活補助金7萬5,癌症保障,6
就一次領57萬5,理賠快速乾脆,2
再多增加一筆50萬,期滿領回,0
就是一次領107萬5,理賠快速乾脆,2
一般癌症是分期數,癌症保障,6
康復機率很高喔,其他,9
零期原位癌就可以一次先領7萬5,理賠快速乾脆,2
我們會提供最高300萬的用藥額度,保障額度,8
等於另外多一個300萬的用藥額度,保障額度,8
它就是比微創手術更微創,癌症保障,6
達文西手術是比微創更微創,癌症保障,6
它只會有一個洞,癌症保障,6
其實它的副作用比較小,癌症保障,6
可以更快回歸正常的生活跟工作,其他,9
我們額外提供最高10萬的達文西手術醫療費用保險金,癌症保障,6
其實一般客戶會比較想要選擇達文西,癌症保障,6
加買一個50萬的達文西手術醫療費用保險金,癌症保障,6
靈患率比較高的肺癌啊 肝癌啊 結腸直腸癌 攝護腺癌 或女生出了乳癌跟子宮腺癌,癌症保障,6
靈患率比較高的肺癌啊,癌症保障,6
我們就是一次100萬,保障額度,8
加上補助是7萬5,保障額度,8
不用擔心醫療花費的問題,其他,9
300萬的標靶用藥額度,癌症保障,6
50萬的打無期手術,癌症保障,6
一天一年的不綁約,保險彈性,3
預算上其實也是相當的輕鬆,小錢大保障,1
一個月是870 . 現在是29元的小零錢 . 就可以參加的到,小錢大保障,1
小零錢可以享受到高度的癌症險,癌症保障,6
可以享受到高度的癌症險,癌症保障,6
